target_comb_idx,target_text,ctx_-4_speaker,ctx_-4_text,ctx_-3_speaker,ctx_-3_text,ctx_-2_speaker,ctx_-2_text,ctx_-1_speaker,ctx_-1_text,ctx_0_speaker,ctx_0_text,ctx_1_speaker,ctx_1_text,ctx_2_speaker,ctx_2_text,R1: References prior student content_final,R2: Builds on student content_final,R3: Invites further student thinking_final,C1. No student content available (N/A)_final,C2. Want annotation review_final
10_31,"You may go get it. Student A, can you please get Student N’s folder out of her desk, and Student J, can you please turn off a light.",teacher,"9’s? Okay. Alright. Everyone’s quiz should be upside down. Homework should be to the side. Let me just get Student D.C.’s – here you go. On your mark, get set, flip.",teacher,"Student C, can you go get the two black markers that are on my desk please?",teacher,"And flip! Pass the quizzes to your right, then pass them back. Student N, you can leave them on the table with the tablecloth, okay? We are going to take our unit test for this unit this week sometime. Girls? Put those away! Either probably Wednesday we’ll take our end of unit assessment on this unit. Today we are going to review a whole bunch of things we’ve been working on for the past month or so. Student C, put that away. First we’re gonna review the homework over the weekend. We are gonna review some old questions that are similar to the test word problems. Then we are going to work on multiplication and division word problems. Okay? Obviously we’re gonna solve some of our own and then you are gonna work on creating your own. The first thing I want to do is go over the homework though. So please turn to the first page, which is the multiplication clusters. Page 58 I think; 57 we did in class and you had to finish 58 for homework. Student Z? Did you hand it in? I would pass back all the homework. Look in your – well the people that finished it in class put it in their folder. They didn’t hand it in. If for some reason you don’t have it, you need to take out your math notebook and take all these notes. You need to write down every cluster. Student N?",student,Can I leave my desk?,teacher,"You may go get it. Student A, can you please get Student N’s folder out of her desk, and Student J, can you please turn off a light.",student,Do you want me to go that way?,teacher,Student A’s getting it for you.,0,0,0,1,0
113_415,"Boys, let’s go.",teacher,You’re really lucky this didn’t fall off.  I said stay away from the camera. Didn’t I say that?,teacher,What? First you’re coming up with a question.,teacher,This is gonna be a big problem here today.,teacher,"No, you’re not putting it back there. Sit right here.",teacher,"Boys, let’s go.",teacher,Okay. What’s your question?,teacher,What?,0,0,0,1,0
11_450,But what she just said is – can you say it again?,teacher,Yep. That is – it seems to me that the answer – what do you have to say? Let me see. Do you agree with them?,student,"Yeah but they're not talking about, like, percent.",teacher,Percent? Okay.,student,They're talking about fractions.,teacher,But what she just said is – can you say it again?,student,[It's good].,student,"We do 100 percent minus 60 percent equals to 40 percent. So 40 percent. You find the fraction. That equals to 40 percent, two-fifths.",0,0,0,1,0
130_4,To separate or to break…,teacher,"So, 80, and then which place value do I have to look at again? The ones place. So I have 3 plus 5, which equals 8. Does anybody remember what this strategy is called? Does anybody remember what this strategy is called? Student T?",student,Decomposing.,teacher,"Decomposing, very good. Decomposing means what? What does that mean? Student W?",student,To separate.,teacher,To separate or to break…,student,Down.,teacher,"Down, very good. So 400 plus 80 is 480 plus 8 more is 488. So that is the sum of the two numbers. Does everybody understand what they’re going to be asked to do and they’re meant to do right now? So open up your math journal. Everybody, this is your starter problem, the one in blue, that’s why I put it in a different color. And the other 3. You must start and finish each one. Student M, how are you doing? Do you want me to come and right this down for you? Okay. All right. This is starter problem number one, you’re going to do it completely and solved it. Starter problem number two, do it completely and solve it. And starter problem number three, do it completely and solve it. You have to solve this problem. You have to start it off this way first. Then you have to say, all right, I still have to solve this problem, I’m going to start it off this way now. I have to solve this problem again, I’m going to start it off this way.",0,0,0,1,0
15_153,"32nd, good job.",teacher,So is that what you’re doing?,student,I already did my equation.,teacher,Good job.,student,I’m going up to 32.,teacher,"32nd, good job.",student,"Mr. J, I need to start going like this because I don’t have any space left.",teacher,You could do the second 16th right up here.,1,0,0,0,0
169_93,Now we have Z and U. So we have Z and U. So give us a value for your Z.,student,B.,teacher,B and what? D? Okay.,multiple students,Z.,teacher,"Z, okay. Z and U. You have Z and what? U and I don't want to be suffering when I have too many of them.",teacher,Now we have Z and U. So we have Z and U. So give us a value for your Z.,student,Three.,teacher,"Okay, now give us where Z is equal to what? Three. And give us a value for S.",1,0,0,REVIEW,1
191_36,"It’s just like what you said before. Even if that triangle was turned another way, the angles would still match up.",teacher,That’s okay. Angle B goes with angle – Student G?,student,E.,teacher,"E. And it’s pretty simple, right. It just – wherever it is on one shape, it’s the same on the other shape. Are there any questions so far?",student,No.,teacher,"It’s just like what you said before. Even if that triangle was turned another way, the angles would still match up.",teacher,"Right, and I can actually show an example, ‘cause some of you look somewhat confused. Okay, which is fine, ‘cause you’ve never really heard of these terms before. But let’s take this shape, for instance. These two shapes. Are these two shapes congruent.",multiple students,Yes.,1,0,0,0,0
198_133,"Two hundred and sixty-four. Okay, that’s a very important sentence in a word problem – the combined area, all right? That’s the two parallelograms together. What is the height of each figure? Okay. How are we gonna do this, Student A?",teacher,Okay. Probably number five is a little tricky. Anybody think it was tricky?,student,A little bit.,teacher,"All right. I think there’s going to be one very similar on the test, so let’s look at this one. We have two parallelograms and what’s the formula for parallelogram?",teacher,"Okay. Each parallelogram is 22 feet long. The combined area – underline that sentence. That is so important. The combined area is 264 square feet. That means if you put those two parallelograms together, their area is how much?",teacher,"Two hundred and sixty-four. Okay, that’s a very important sentence in a word problem – the combined area, all right? That’s the two parallelograms together. What is the height of each figure? Okay. How are we gonna do this, Student A?",student,We’re gonna divide 22 – 22 divided by two – 264 and you’re gonna get 12.,teacher,"Wait, I’ve lost you for a minute. You say you’re gonna divide 22 or 264?",0,0,1,0,0
2015_342,"You’re multiplying it by 10 percent. So if that was a decimal, what would it look like?",teacher,"Who’s winning? I’m not sure who’s using the baby voice in fifth grade, but it needs to stop.",student,"Regular, $25.00 to the person –",teacher,"Oh, power of 10, power of 10.",student,"Oh, [inaudible] 25 times –",teacher,"You’re multiplying it by 10 percent. So if that was a decimal, what would it look like?",student,Zero point one.,teacher,"Zero times 1-tenth. So if you’re multiplying it by a tenth, what happens to your decimal?",0,0,1,0,0
2041_277,"Okay, and who came up with a good label for this axis down here, your X axis? Student N, what label did you give this axis?",teacher,"You don't need the word ""number"", just how many M&Ms. O. Who can tell me on their scale over here what interval you used? Student P, what was your interval?",student,One.,teacher,"You just counted by ones, and that would have been the best choice for this graph. All right. Who came up with a good label for this axis? What did you put, Student M?",student,Number of M&Ms.,teacher,"Okay, and who came up with a good label for this axis down here, your X axis? Student N, what label did you give this axis?",student,Names of M&Ms.,teacher,"How about colors? Colors of M&Ms. W title did you give your whole graph, Student D?",0,0,1,0,0
