target_comb_idx,OBSID,R1_pred,R2_pred,R3_pred,pred_C1
3_100,3,1,1.0,1.0,1
3_136,3,1,0.0,1.0,0
3_152,3,1,1.0,1.0,0
3_220,3,0,0.0,1.0,1
3_239,3,0,0.0,0.0,1
3_64,3,0,0.0,0.0,1
3_83,3,0,1.0,1.0,0
4_11,4,1,0.0,1.0,0
4_15,4,1,1,1,0
4_167,4,0,0,1,0
4_306,4,0,1.0,0.0,1
4_350,4,0,0.0,0.0,1
4_415,4,0,0.0,1.0,1
4_445,4,0,0.0,0.0,0
4_456,4,0,0.0,0.0,1
4_50,4,0,0.0,1.0,0
5_153,5,1,0.0,1.0,0
5_18,5,0,0.0,1.0,1
5_224,5,0,0,0,0
5_323,5,0,0.0,0.0,0
5_434,5,0,0.0,0.0,1
5_481,5,0,0.0,0.0,1
5_516,5,0,0.0,0.0,1
5_548,5,0,0.0,1.0,0
5_70,5,0,0,0,1
7_107,7,1,0,1,0
7_161,7,1,0.0,1.0,0
7_234,7,0,0.0,0.0,1
7_253,7,0,0.0,1.0,0
7_272,7,0,0.0,0.0,1
7_378,7,0,0.0,0.0,1
7_401,7,1,0.0,1.0,0
7_60,7,1,0.0,1.0,0
8_132,8,1,0.0,0.0,0
8_18,8,1,0.0,1.0,0
8_30,8,1,0.0,1.0,0
8_390,8,0,0.0,1.0,0
8_402,8,0,0.0,1.0,0
8_440,8,0,0.0,1.0,0
8_448,8,0,0,1,0
8_50,8,1,0.0,1.0,0
9_117,9,0,0.0,0.0,0
9_158,9,0,0.0,0.0,1
9_31,9,0,0.0,1.0,0
9_387,9,0,0.0,0.0,1
9_408,9,0,0.0,0.0,1
9_633,9,0,0,0,0
9_668,9,0,0.0,0.0,0
9_69,9,0,0.0,0.0,0
10_137,10,0,0.0,1.0,1
10_165,10,1,0.0,1.0,0
10_177,10,1,1,1,0
10_18,10,0,0.0,0.0,1
10_197,10,1,1.0,1.0,0
10_29,10,0,0.0,0.0,1
10_363,10,0,0.0,0.0,1
10_405,10,0,0.0,1.0,0
11_120,11,0,1.0,1.0,0
11_162,11,1,0.0,1.0,0
11_227,11,1,0.0,0.0,0
11_377,11,1,0.0,1.0,0
11_407,11,0,0.0,1.0,0
11_50,11,1,0.0,1.0,0
11_529,11,0,1.0,1.0,0
12_140,12,1,1.0,1.0,0
12_152,12,1,0.0,0.0,0
12_226,12,1,1.0,1.0,0
12_28,12,0,0.0,1.0,0
12_280,12,0,0.0,1.0,0
12_310,12,0,0.0,1.0,0
12_372,12,0,0.0,1.0,0
12_69,12,1,1,1,0
13_141,13,1,1.0,1.0,0
13_143,13,1,0.0,1.0,0
13_166,13,1,1.0,1.0,0
13_20,13,1,0.0,1.0,0
13_8,13,1,0.0,1.0,0
13_83,13,1,0.0,1.0,0
13_93,13,0,0.0,1.0,1
15_161,15,0,0.0,1.0,0
15_207,15,0,0.0,1.0,1
15_215,15,0,0.0,1.0,0
15_22,15,1,1.0,0.0,0
15_340,15,0,0.0,0.0,1
15_350,15,1,0.0,1.0,0
15_360,15,1,1,0,0
15_39,15,0,0.0,0.0,1
15_419,15,0,0,0,0
16_104,16,0,0,1,0
16_142,16,0,0.0,1.0,0
16_195,16,1,0.0,1.0,0
16_236,16,0,0.0,0.0,1
16_29,16,0,1.0,1.0,1
16_323,16,0,0.0,0.0,1
16_381,16,0,0.0,0.0,1
16_58,16,1,0.0,1.0,0
16_78,16,1,1,0,0
17_133,17,0,0.0,0.0,1
17_233,17,0,0.0,1.0,0
17_244,17,0,1.0,1.0,0
17_256,17,0,0,1,0
17_273,17,0,0,0,1
17_371,17,0,0.0,0.0,0
17_424,17,0,0,1,0
17_478,17,0,0,0,0
17_482,17,0,0.0,1.0,0
17_504,17,0,0,0,0
17_516,17,0,0,0,0
17_535,17,0,0.0,0.0,0
17_557,17,0,0.0,0.0,0
18_154,18,0,0.0,1.0,0
18_20,18,0,0.0,0.0,1
18_211,18,0,0.0,0.0,0
18_221,18,0,0.0,1.0,0
18_286,18,0,0.0,0.0,0
18_33,18,0,1.0,1.0,0
18_343,18,0,0,0,1
18_350,18,0,0.0,0.0,1
19_230,19,1,0.0,0.0,0
19_285,19,1,0.0,0.0,1
19_29,19,0,0.0,1.0,0
19_365,19,0,0.0,0.0,0
19_375,19,1,0.0,0.0,0
19_426,19,0,0.0,0.0,1
19_444,19,0,0.0,0.0,1
19_73,19,0,0,0,1
19_88,19,0,0,0,0
20_18,20,1,1.0,1.0,0
20_191,20,0,0.0,1.0,1
20_225,20,0,0.0,0.0,1
20_452,20,0,0.0,0.0,0
20_482,20,1,0.0,0.0,0
20_508,20,0,0.0,0.0,0
20_589,20,1,0.0,0.0,0
20_648,20,0,0,0,1
21_0,21,0,0.0,1.0,1
21_117,21,1,0.0,0.0,0
21_140,21,0,1.0,1.0,0
21_145,21,0,0.0,0.0,0
21_20,21,0,1.0,1.0,1
