Observation Variable,Prediction,Pearson r,p (Pearson),Spearman ρ,p (Spearman),N
CLRSP,R2 (Builds on student content),-0.012,0.663,-0.021,0.4385,1322
CLRSP,R3 (Invites further student thinking),0.027,0.3314,0.024,0.3792,1322
CLPC,R2 (Builds on student content),-0.025,0.3637,-0.016,0.5534,1322
CLPC,R3 (Invites further student thinking),-0.013,0.6404,-0.008,0.7584,1322
CLNC,R2 (Builds on student content),-0.036,0.188,-0.044,0.1128,1322
CLNC,R3 (Invites further student thinking),-0.075,0.0061,-0.078,0.0044,1322
CLTS,R2 (Builds on student content),0.018,0.5112,0.011,0.678,1322
CLTS,R3 (Invites further student thinking),0.029,0.2968,0.026,0.3503,1322
CLBM,R2 (Builds on student content),0.072,0.0091,0.075,0.0061,1322
CLBM,R3 (Invites further student thinking),0.139,0.0,0.135,0.0,1322
CLPRDT,R2 (Builds on student content),0.05,0.0687,0.033,0.2247,1322
CLPRDT,R3 (Invites further student thinking),0.132,0.0,0.123,0.0,1322
CLILF,R2 (Builds on student content),0.011,0.6918,0.011,0.6978,1322
CLILF,R3 (Invites further student thinking),0.083,0.0025,0.08,0.0036,1322
CLCU,R2 (Builds on student content),0.025,0.3709,0.035,0.1979,1322
CLCU,R3 (Invites further student thinking),0.105,0.0001,0.104,0.0001,1322
CLAPS,R2 (Builds on student content),0.053,0.0523,0.069,0.0118,1322
CLAPS,R3 (Invites further student thinking),0.145,0.0,0.14,0.0,1322
CLQF,R2 (Builds on student content),0.042,0.1228,0.047,0.0871,1322
CLQF,R3 (Invites further student thinking),0.066,0.0172,0.057,0.0367,1322
CLINSTD,R2 (Builds on student content),0.04,0.1432,0.047,0.0845,1322
CLINSTD,R3 (Invites further student thinking),0.08,0.0037,0.078,0.0046,1322
CLSTENG,R2 (Builds on student content),0.014,0.6004,0.018,0.5107,1322
CLSTENG,R3 (Invites further student thinking),0.049,0.0779,0.042,0.1284,1322
STEXPL,R2 (Builds on student content),0.06,0.0296,0.093,0.0007,1325
STEXPL,R3 (Invites further student thinking),0.132,0.0,0.125,0.0,1325
STUCON,R2 (Builds on student content),-0.02,0.7429,0.02,0.7424,278
STUCON,R3 (Invites further student thinking),-0.037,0.5401,0.023,0.7023,278
STUCOM,R2 (Builds on student content),-0.013,0.8251,-0.011,0.8495,278
STUCOM,R3 (Invites further student thinking),0.087,0.1488,0.09,0.1345,278
STUENG,R2 (Builds on student content),-0.004,0.9492,-0.016,0.7943,278
STUENG,R3 (Invites further student thinking),0.081,0.1755,0.075,0.2143,278
MQI3,R2 (Builds on student content),0.11,0.0003,0.109,0.0004,1047
MQI3,R3 (Invites further student thinking),0.066,0.0332,0.062,0.045,1047
MQI5,R2 (Builds on student content),0.087,0.0016,0.091,0.0009,1325
MQI5,R3 (Invites further student thinking),0.109,0.0001,0.101,0.0002,1325
