OBSID,target_comb_idx,target_text,ctx_-4_speaker,ctx_-4_text,ctx_-3_speaker,ctx_-3_text,ctx_-2_speaker,ctx_-2_text,ctx_-1_speaker,ctx_-1_text,ctx_0_speaker,ctx_0_text,ctx_1_speaker,ctx_1_text,ctx_2_speaker,ctx_2_text
480,480_329,"That's okay, that's why we preview things and that's why we review things. Yes. We have review and preview.",teacher,It's not. I think we should have done the metric system first because it's easier but I started with our system because that's what we are familiar with.,student,[Inaudible],teacher,"Exactly. If you can just remember that there are 1000 milliliters in a leader and there are 1000 L in a kilometer, you’re good.",multiple students,[Inaudible],teacher,"That's okay, that's why we preview things and that's why we review things. Yes. We have review and preview.",student,[Inaudible] everything comes to me slowly. [Inaudible],teacher,Right.
4485,4485_53,"It’s on the board, one-fourth divided by 3.",teacher,Love it.  Isn’t that amazing?  I love it.  I love that you guys are getting this quickly.  Did you record it in your journal?,student,No.,teacher,Record the problem.  Show me what one-fourth divided by 3 looks like.  I love that you guys are quick with these.,student,One-fourth divided by what?,teacher,"It’s on the board, one-fourth divided by 3.",student,[Inaudible].,teacher,That’s good.  Thank you.
4067,4067_555,"I have to separate.  I have to break it apart.  Well, we know that how many tens are in a flat?",teacher,"Okay, but let’s talk about where we place our numbers, too. Remember, we’re saying we have six groups, okay?  And we know 126 in base-ten is a flat, two tens, and six units. And what I’m asking you, is can I take this flat and put – give each one of my six a flat?  Can I do that?",student,No.,teacher,"No, so I have to do what to this, now?",student,Ah … separate it?,teacher,"I have to separate.  I have to break it apart.  Well, we know that how many tens are in a flat?",student,Ten.,teacher,"Ten.  So ten tens, plus two tens is how many, Student J?"
2743,2743_356,Where?  Why did you add nine?  Look at the formula.,student,[Inaudible].,teacher,I need you to multiply these three together and get the answer. [Students working on problem].,teacher,Did you multiply those three together?,student,Mm-hmm.,teacher,Where?  Why did you add nine?  Look at the formula.,student,"Oh, [inaudible].  [Students working on problem].",student,[Inaudible].
191,191_109,"Yeah, yeah, you can do the perimeter.  Very good, which is the distance around it.  All right, now look at the next set of shapes there.  What can you tell me about those two shapes? Okay, you have to defend your answer, so whatever you tell me, you have to tell me why you said that.  Student I?",teacher,"You could use a ruler because you can measure the sides, right? And if the sides are the same, then it would be –",multiple students,The same.  Congruent.,teacher,Congruent.  Yes ma’am?,student,I’m gonna say that [inaudible] in the area.,teacher,"Yeah, yeah, you can do the perimeter.  Very good, which is the distance around it.  All right, now look at the next set of shapes there.  What can you tell me about those two shapes? Okay, you have to defend your answer, so whatever you tell me, you have to tell me why you said that.  Student I?",student,"They’re similar because, like, one is – one is bigger, and the other one’s like really small, but it’s the same shape.",teacher,"Right, same shape, different sizes.  What shape is that, Student I?"
2085,2085_44,"Oh, you are so far ahead of me.  You just flew right over my head.",student,"Like if you did four times two, and then you put like a two [inaudible], and then you leave one number out and then put two slashes one the side, then you multiply it, then you add it.  And the distributor is on the [inaudible].",teacher,"Oh, not yet.",teacher,"Oh, you mean on this?",student,"You’d write two C’s, and then put the first two numbers, and then put the but there’s no correct procedures with it at this time. It’s a different [inaudible].",teacher,"Oh, you are so far ahead of me.  You just flew right over my head.",teacher,It is good stuff.  Is he maybe talking about the distributive properties?,teacher,"Student D, always a step ahead of me.  Okay, let’s go to step two.  Step two.  Oh, I changed colors, accidentally. That’s okay.  Okay, what’s my next step.  I did my ones.  I multiplied my ones.  Student E, I’ve already called on you. Student I."
90,90_713,"Okay, one second.",student,I need help.,teacher,It counts all the way up to 99 –,teacher,Start at that wall –,teacher,-- and then goes [Inaudible],teacher,"Okay, one second.",teacher,How much is it going to be?,teacher,What do you need help with?  Push it all the way to the wall.
4031,4031_113,7 times what number is close to 75? 7 times 10 is 70.  So how many do you think are going to be in each group based on what you just said?,teacher,"Okay.  So if I multiply that – oh wow.  That does give me 75. Awesome.  Let’s take that same number, and I want 7 groups.  7 groups.  How many groups do you have?",student,"5 groups, and we had a remainder, and we knew we weren’t supposed to.",teacher,"Now we’re doing 7 groups.  Now here’s what I want you to think about.  Is there a way that you could do this other than the way that you’re currently doing it?  Think about what you know about multiplication, if you’re going to have 7 groups.  Is there a way you could figure out how many might be in each group without doing this?  What do you know about – is there – if you take multiplication, you know 7 is going to be one of the factors because it’s 7 groups.  How many could be in each group that might get you close to 75?  Hmm?",student,[Inaudible].,teacher,7 times what number is close to 75? 7 times 10 is 70.  So how many do you think are going to be in each group based on what you just said?,student,10.,teacher,Then you should have something leftover.  So what do you have in each group?
4134,4134_106,"That’s interesting.  He has the same number.  So if Student C is trying to make the largest number possible, which he should be, because he’s trying to get to 0 before I do, then what number is he going to make that? He’s going to do the exact same thing.  That’s interesting.  So far Student C and I are tied.",teacher,In the 50?,student,The 0 right here.,teacher,"May I tell you a secret?  This is just me.  I know lots of people do it different ways.  But for me, I just go on and take one from here and I know that’s going to become 49 and this is 100.  Then it’s easier for me to subtract 42 from 100.  I know that’s going to give me what?  58.  Then that’s 4 and that’s 4.  I’m going to do the subtraction.  Then since I’ve had my turn, my partner is going to roll.  Student C, roll.",student,542.,teacher,"That’s interesting.  He has the same number.  So if Student C is trying to make the largest number possible, which he should be, because he’s trying to get to 0 before I do, then what number is he going to make that? He’s going to do the exact same thing.  That’s interesting.  So far Student C and I are tied.",student,Do you subtract it?,teacher,"We already know the answer, because remember, mine was exactly the same.  Does that make sense?"
487,487_55,"We're gonna stick with whole numbers for now, 'cause there is a way with doing it with mixed numbers.",teacher,"8 by 2.  Let's see.  When we add that up, does that equal 8 feet, Student N?  Does 8 plus 2 plus 8 plus 2 equal 8? 'Cause remember, I only have 8 feet of fencing.  Will this one work?  What do you think?  No, we don’t have enough fencing for this one, okay.  Is there another one we could try though, using whole numbers?  What do you have, Student D?",student,"I just had – oh, never mind.",teacher,Okay.,student,[Inaudible],teacher,"We're gonna stick with whole numbers for now, 'cause there is a way with doing it with mixed numbers.",student,[Inaudible],teacher,Was this one pretty limited in what we could do?
